eventID,trackID,parentID,particle,time_ns,x_mm,y_mm,z_mm,energy_MeV,process,edep_MeV
3,18338,18331,e+,0.786354,1.31346,-13.4793,53.1639,0,conv,0.376043
3,18346,18307,e+,0.791867,5.42231,2.1242,87.6124,10.2948,conv,0.534433
3,18370,18305,e+,0.708444,7.89441,-3.12819,63.2787,0.796848,conv,0.14864
3,18389,18303,e+,0.707447,7.99412,-3.1328,62.9769,0,conv,1.27687
3,18402,17854,e+,0.743543,7.01733,-3.79622,73.8178,6.57941,conv,1.02099
3,18473,18442,e+,0.72275,8.75287,-2.24015,67.5722,9.33924,conv,1.86902
3,18501,18438,e+,0.746357,8.51208,-1.96035,74.6588,127.057,conv,0.19273
3,18516,18507,e+,0.768953,9.62681,-1.00477,81.2512,27.0119,conv,0.645825
3,18574,18559,e+,0.794745,11.1437,2.53172,87.9284,0,conv,1.49341
3,18588,18558,e+,0.785292,10.9233,1.04899,85.4766,2.75334,conv,0.135829
3,18606,18506,e+,0.809447,10.2404,0.779877,93.2853,0,conv,0.426357
3,18665,18625,e+,0.848423,16.4405,-3.85452,103.97,17.1753,conv,0.0125396
3,18691,18689,e+,0.888696,13.2932,-5.31177,114.697,0.655431,conv,1.87762
3,18720,18714,e+,0.833935,3.76494,15.4746,93.4423,0,conv,0.713695
3,18732,18434,e+,0.688928,8.64063,-3.49558,57.5075,11.1278,conv,0.824951
3,18744,18736,e+,0.695723,10.1357,-2.97404,58.242,0,conv,1.94439
3,18767,18765,e+,0.738387,15.7435,-7.17865,68.1563,0,conv,2.1105
3,18775,18764,e+,0.720217,11.8102,-4.24278,65.4266,0,conv,0.280377
3,18783,18762,e+,0.733069,7.9611,-3.6087,70.7178,9.03955,conv,0.640586
3,18821,18810,e+,0.805414,6.77095,-3.88233,91.6402,0,conv,0.845911
3,18838,18760,e+,0.732512,7.40552,-4.08175,70.4833,1.36521,conv,1.4919
3,18851,18758,e+,0.729223,8.17619,-3.09542,69.5721,11.5767,conv,0.513604
3,18887,18428,e+,0.700188,8.32905,-3.36871,60.874,0,conv,0.493865
3,18914,8335,e+,0.69516,8.18254,-3.66345,59.3511,2.8781,conv,0.351712
3,18928,8334,e+,0.693027,8.22416,-3.6934,58.7159,0.0377968,conv,2.61938
3,18938,18936,e+,0.705397,7.48084,-4.59207,62.2257,2.4746,conv,0.417865
3,18952,18935,e+,0.744712,2.92683,-2.56542,73.232,4.81721,conv,0.673291
3,19045,18994,e+,0.796933,12.4795,-2.27059,89.5795,0,conv,1.57213
3,19060,18988,e+,0.71991,7.6869,-3.64821,66.7542,0.649827,conv,2.031
3,19068,18987,e+,0.701762,8.35018,-3.33583,61.3442,40.1472,conv,1.11117
3,19088,19081,e+,0.74962,12.4232,-1.26014,62.1389,0,conv,0.00298997
3,19117,19070,e+,0.79897,16.4128,8.97524,86.121,0,conv,0.244962
3,19142,19136,e+,0.738065,11.1748,-2.04499,71.1806,2.79611,conv,0.939065
3,19170,19158,e+,0.815321,12.1186,-11.456,92.0945,3.10408,conv,0.365487
3,19186,19135,e+,0.76463,11.21,-1.72696,79.6187,0,conv,1.13296
3,19194,19132,e+,0.72567,9.3901,-3.86093,68.288,2.1924,conv,0.810284
3,19250,18977,e+,0.712072,7.90935,-3.91062,64.4227,137.841,conv,0.985677
3,19306,19275,e+,0.75444,7.43616,-3.66576,76.9122,0,conv,1.0901
3,19319,19271,e+,0.744946,7.1737,-4.84361,74.1005,0,conv,0.695196
3,19327,19270,e+,0.743733,7.44581,-4.67649,73.7689,0,conv,0.890231
3,19338,19268,e+,0.86814,17.425,-14.8238,108.395,0.885657,conv,1.79454
3,19365,19264,e+,0.762121,6.58144,-4.53302,79.3357,5.34139,conv,0.675034
3,19389,19262,e+,0.721949,7.58319,-3.9491,67.3631,13.5719,conv,0.049398
3,19399,19391,e+,0.753722,5.19653,-4.46098,76.5663,1.04374,conv,2.73581
